"Date","MSFT.Open","MSFT.High","MSFT.Low","MSFT.Close","MSFT.Volume","MSFT.Adjusted","dn","mavg","up"
2022-01-18,304.070007,309.799988,301.73999,302.649994,42333200,299.091278,300.187971315148,324.574834683333,348.961698051519
2022-01-19,306.290009,313.910004,302.700012,303.329987,45933900,299.763275,298.345153355871,323.902501416667,349.459849477462
2022-01-20,309.070007,311.649994,301.140015,301.600006,35380700,298.05365,296.026919089377,322.895334866667,349.763750643957
2022-01-21,302.690002,304.109985,295.609985,296.029999,57984400,292.549164,292.697799156132,321.2818344,349.865869643868
2022-01-24,292.200012,297.109985,276.049988,296.369995,85731500,292.885162,288.072944416629,319.0438334,350.014722383371
2022-01-25,291.519989,294.98999,285.170013,288.48999,72848600,285.097839,284.59732912785,316.515333016667,348.433336905484
2022-01-26,307.98999,308.5,293.029999,296.709991,90428900,293.221161,283.875871620232,314.396332766667,344.916793913102
2022-01-27,302.660004,307.299988,297.929993,299.839996,53481300,296.314331,284.178742816401,312.381999166667,340.585255516932
2022-01-28,300.230011,308.480011,294.450012,308.26001,49743700,304.635376,285.255680167472,310.547332733333,335.838985299195
2022-01-31,308.950012,312.380005,306.369995,310.980011,46444500,307.323395,287.036992135144,309.183999616667,331.33100709819
2022-02-01,310.410004,310.630005,305.130005,308.76001,40950400,305.129486,288.936384415447,307.8838333,326.831282184553
2022-02-02,309.630005,315.119995,308.880005,313.459991,36636000,309.7742,290.836755793761,307.0026662,323.168576606239
2022-02-03,309.48999,311.230011,299.959991,301.25,43730000,297.707764,291.08698309186,306.23616585,321.385348608141
2022-02-04,300.209991,308.799988,299.970001,305.940002,35096500,302.342621,291.097539823514,305.74683225,320.396124676486
2022-02-07,306.170013,307.839996,299.899994,300.950012,28533300,297.411316,290.968943410422,305.214498866667,319.460054322911
2022-02-08,301.25,305.559998,299.950012,304.559998,32421200,300.978821,290.828945592366,304.820999133333,318.813052674301
2022-02-09,309.869995,311.929993,307.390015,311.209991,31284700,307.550659,291.031127824988,304.638498933333,318.245870041679
2022-02-10,304.040009,309.119995,300.700012,302.380005,45386200,298.824524,292.109723562674,303.862499466667,315.615275370659
2022-02-11,303.190002,304.290009,294.220001,295.040009,39175600,291.570801,291.571314724571,303.260333233333,314.949351742096
2022-02-14,293.769989,296.76001,291.350006,295,36359500,291.531281,290.502846774189,302.56599985,314.629152925811
2022-02-15,300.01001,300.799988,297.019989,300.470001,27058300,296.936981,290.206823694367,302.30099995,314.395176205633
2022-02-16,298.369995,300.869995,293.679993,299.5,29982100,296.590363,289.810541492508,301.8694997,313.928457907492
2022-02-17,296.359985,296.799988,290,290.730011,32461600,287.905548,288.617316955783,301.2551661,313.893015244218
2022-02-18,293.049988,293.859985,286.309998,287.929993,34264000,285.132721,287.166958423595,300.794332883333,314.421707343072
2022-02-22,285,291.540009,284.5,287.720001,41736100,284.924805,286.739904474204,300.698166916667,314.656429359129
2022-02-23,290.179993,291.700012,280.100006,280.269989,37811200,277.547211,285.412459599135,300.421833816667,315.431208034198
2022-02-24,272.51001,295.160004,271.519989,294.589996,56989700,291.728058,283.708871457732,299.805667133333,315.902462808935
2022-02-25,295.140015,297.630005,291.649994,297.309998,32546700,294.421631,283.321341952237,299.497667466667,315.673992981097
2022-02-28,294.309998,299.140015,293,298.790009,34627500,295.887238,283.069445463333,299.16000065,315.250555836668
2022-03-01,296.399994,299.970001,292.149994,294.950012,31217800,292.084564,283.080866456906,298.449000583333,313.817134709761
2022-03-02,295.359985,301.470001,293.700012,300.190002,31873000,297.273651,283.255104302754,297.9630005,312.670896697246
2022-03-03,302.890015,303.130005,294.049988,295.920013,27314500,293.045166,284.110230330877,297.223667416667,310.337104502456
2022-03-04,294.290009,295.660004,287.170013,289.859985,32356500,287.043976,283.575513499954,296.561167416667,309.546821333379
2022-03-07,288.529999,289.690002,278.529999,278.910004,43157200,276.200378,281.655343431319,295.434834316667,309.214325202014
2022-03-08,277.799988,283.959991,270,275.850006,48159500,273.170135,278.539722213562,294.120167566667,309.700612919772
2022-03-09,283.440002,289.600006,280.779999,288.5,35204500,285.697235,277.936378806405,293.26700085,308.597622893596
2022-03-10,283.019989,286.600006,280.579987,285.589996,30628000,282.81546,278.283072176866,291.971000683334,305.658929189801
2022-03-11,287.959991,289.51001,279.429993,280.070007,27209300,277.349152,277.889192476245,290.917833983333,303.946475490422
2022-03-14,280.339996,285.399994,275.820007,276.440002,30660700,273.754395,276.420509556808,289.986333716667,303.552157876525
2022-03-15,280.350006,287.820007,278.730011,287.149994,34245100,284.360321,275.890956011912,289.496166983333,303.101377954755
2022-03-16,289.109985,294.570007,283.200012,294.390015,37826300,291.529999,276.219075013688,289.060667916667,301.902260819646
2022-03-17,293.290009,295.609985,289.369995,295.220001,30816600,292.351898,276.484092157684,288.829834466667,301.17557677565
2022-03-18,295.369995,301,292.730011,300.429993,43390600,297.511292,276.206771159082,289.107001216667,302.007231274251
2022-03-21,298.890015,300.140015,294.899994,299.160004,28351200,296.253662,276.062362167541,289.542001833333,303.021641499126
2022-03-22,299.799988,305,298.769989,304.059998,27599700,301.106049,275.676123252471,290.27650145,304.876879647529
2022-03-23,300.51001,303.230011,297.720001,299.48999,25715400,296.580444,276.175118143406,291.082668033333,305.990217923261
2022-03-24,299.140015,304.200012,298.320007,304.100006,24484500,301.145691,276.297899509887,291.838501966667,307.379104423447
2022-03-25,305.230011,305.5,299.290009,303.679993,22566500,300.729736,276.004827003512,292.203168716667,308.401510429822
2022-03-28,304.329987,310.799988,304.329987,310.700012,29578200,307.68158,275.169147014446,292.784834766667,310.400522518888
2022-03-29,313.910004,315.820007,309.049988,315.410004,30393400,312.345764,273.905646494137,293.671667966667,313.437689439197
2022-03-30,313.76001,315.950012,311.579987,313.859985,28163600,310.810822,272.880271396757,294.438834116667,315.997396836576
2022-03-31,313.899994,315.140015,307.890015,308.309998,33422100,305.314758,272.442785242969,295.076167816667,317.709550390364
2022-04-01,309.369995,310.130005,305.540009,309.420013,27110500,306.413971,272.689335706531,295.949501566667,319.209667426803
2022-04-04,310.089996,315.109985,309.709991,314.970001,24289600,311.910034,273.943785592069,297.493834433334,321.043883274598
2022-04-05,313.269989,314.869995,309.869995,310.880005,23156700,307.859802,276.980969246886,299.2573344,321.533699553114
2022-04-06,305.190002,307,296.709991,299.5,40110400,296.590363,278.522997261586,299.9961675,321.469337738414
2022-04-07,296.660004,303.649994,296.350006,301.369995,31411200,298.4422,280.583194261534,300.8061676,321.029140938466
2022-04-08,300.440002,301.119995,296.279999,296.970001,24361900,294.08493,282.995157034897,301.56216735,320.129177665104
2022-04-11,291.790009,292.609985,285,285.26001,34569300,282.488708,285.158200592807,301.982333883333,318.80646717386
2022-04-12,289.23999,290.73999,280.48999,282.059998,30966700,279.319763,285.122988433103,301.975499983333,318.828011533563
2022-04-13,282.730011,288.579987,281.299988,287.619995,21907200,284.825775,284.108875243981,301.731165583333,319.353455922686
2022-04-14,288.089996,288.309998,279.320007,279.829987,28221600,277.11142,281.962008462307,301.1854991,320.408989737694
2022-04-18,278.910004,282.459991,278.339996,280.519989,20778000,277.794708,279.078588397483,300.304831966667,321.53107553585
2022-04-19,279.380005,286.170013,278.410004,285.299988,22297700,282.52829,277.088459892341,299.566165166667,322.043870440992
2022-04-20,289.399994,289.700012,285.369995,286.359985,22906700,283.578003,275.730580514916,298.792831916667,321.855083318418
2022-04-21,288.579987,293.299988,280.059998,280.809998,29454600,278.081909,274.173976177694,298.02166495,321.869353722306
2022-04-22,281.679993,283.200012,273.380005,274.029999,29405800,271.367828,271.293714630068,296.754831466667,322.215948303266
2022-04-25,273.290009,281.109985,270.769989,280.720001,35678900,277.992798,268.874536033519,295.490331016667,322.106125999815
2022-04-26,277.5,278.359985,270,270.220001,46518400,267.594818,266.069133891777,293.702831,321.336528108223
2022-04-27,282.100006,290.970001,279.160004,283.220001,63477700,280.468506,265.899837239702,292.253997783333,318.608158326965
2022-04-28,285.190002,290.980011,281.459991,289.630005,33646600,286.816254,266.446685399819,290.931998166667,315.417310933514
2022-04-29,288.609985,289.880005,276.5,277.519989,37073900,274.823883,266.378651447127,289.474664266667,312.570677086207
2022-05-02,277.709991,284.940002,276.220001,284.470001,35151100,281.70639,266.549408194221,288.15033055,309.751252905779
2022-05-03,283.959991,284.130005,280.149994,281.779999,25978600,279.042511,268.197349144384,286.588164233333,304.978979322283
2022-05-04,282.589996,290.880005,276.730011,289.980011,33599300,287.162811,271.015523402606,285.287664766667,299.559806130727
2022-05-05,285.540009,286.350006,274.339996,277.350006,43260400,274.655548,271.702791543435,284.201498383333,296.700205223231
2022-05-06,274.809998,279.25,271.269989,274.730011,37780300,272.060974,272.276298053057,282.9328318,293.589365546943
2022-05-09,270.059998,272.359985,263.320007,264.579987,47726000,262.009583,270.879773300249,281.364331533333,291.848889766418
2022-05-10,271.690002,273.75,265.070007,269.5,39336400,266.881805,269.175868301058,280.455165066667,291.734461832276
